word1,word2,average_score
юлбарыс,песи,4.62
акыллы,зирәк,7.95
очкыч,машина,1.54
поезд,машина,2.31
авыр,читен,7.69
ММЧ,радио,5.13
ипи,май,0.77
кыяр,бәрәңге,1.28
табиб,фельдшер,7.44
йорт,өй,9.74
йорт,бина,7.69
шәкерт,укучы,9.74
акыллы,юләр,0.0
чибәр,матур,9.74
аксак,гарип,6.41
шатлык,бәхет,7.69
гаҗәп,сәер,5.64
иптәш,дус,8.97
тәпи,аяк,7.95
агач,урман,2.31
акча,алтын,4.1
гаскәри,хәрби,8.72
патша,кәбестә,0.0
патша,патшабикә,6.67
патша,имам,2.31
мулла,рухани,7.44
изге,кыяр,0.0
тән,гәүдә,8.72
арзан,бушка,4.1
бау,җеп,6.92
революция,инкыйлаб,8.72
көн,төн,2.05
кушамат,исем,6.15
аракы,сыра,4.1
аракы,шәраб,4.36
бәйләнеш,мөнәсәбәт,6.41
гыйлем,белем,8.46
эчү,ашау,3.59
бәхетсез,мескен,5.64
машина,автомобиль,10.0
бизәк,асылташлар,4.1
сәяхәт,сәфәр,8.97
малай,егет,6.92
котылу,эләгү,0.26
сихерче,тылсымчы,7.95
мич,учак,1.79
ризык,җимеш,3.59
кош,әтәч,3.08
кош,торна,4.1
гыйбадәт,намаз,6.41
егет,абый,4.36
дәрвиш,күрәзәче,0.26
зират,урман,0.26
ризык,ишәк,0.0
яр,калкулык,1.54
урман,каберлек,0.0
елга,урман,0.51
вазифа,эш,6.41
яр,урман,0.26
давыл,буран,8.21
курай,елмаю,0.0
вату,бозу,7.44
өйлә,бау,0.0
вөҗдан,оят,4.62
акча,доллар,5.9
түләү,салым,4.36
акча,тәңкә,7.18
дәлил,исбат,8.97
юлбарыс,аю,0.51
юлбарыс,мәче,4.36
юлбарыс,ерткыч,3.59
юлбарыс,җәнлек,2.56
юлбарыс,хайван,3.08
җимерү,вату,9.74
сыер,терлек,4.87
гаилә,җәмәгать,2.82
икътисад,фән,2.31
җан,рух,10.0
планета,йолдыз,2.31
планета,ай,1.54
планета,кояш,2.56
тантана,бәйрәм,8.21
әдәбият,китап,3.59
җирлек,нигез,5.38
хәзерге,борынгы,0.51
гаеп,гөнаһ,5.13
акыл,аң,7.69
чынаяк,савыт-саба,4.87
чынаяк,мәкалә,0.0
чынаяк,чүлмәк,3.08
чынаяк,әйбер,1.79
җыелыш,мәҗлес,7.69
чынаяк,ризык,0.26
чынаяк,матдә,0.51
мәче,песи,9.74
газель,машина,3.85
гомуми,бөтен,6.15
идән,түшәм,1.28
зарар,зыян,8.46
агач,каен,4.36
билге,чокыр,0.51
чәршәмбе,яңалыклар,0.0
чакрым,километр,7.95
горур,тәкәббер,7.18
ил,дәүләт,10.0
кием,күлмәк,5.13
тире,күз,0.0
рус,татар,1.79
намаз,дога,5.9
иман,ышану,7.69
дәрт,теләк,5.9
гасыр,ел,2.05
гасыр,милләт,0.0
дөрес,чын,7.44
чын,ясалма,0.77
ирекле,бәйсез,6.67
елга,инеш,5.9
орлык,бодай,4.87
урнаштыру,китү,0.26
белдерү,яңалыклар,5.38
ихтирам,хөрмәт,9.49
елмаю,көлү,6.67
табиб,хезмәткәрләр,1.03
затлы,кыйммәтле,7.44
сәбәп,чир,0.0
КФУ,КАИ,2.82
хастаханә,инфраструктура,1.28
тормыш,үлем,1.03
тормыш,юл,2.82
җөмлә,сүз,2.05
урын,киңәш,0.0
иген,икмәк,6.41
йомыш,эш,7.69
тынычлык,бурыч,0.0
сәяхәт,ял,2.56
әрем,үсемлек,3.33
кабат,тапкыр,8.21
башлау,туктау,1.28
изге,бөек,4.36
хис,нәфрәт,2.56
тип,төр,7.44
иркен,киң,7.95
әдәбият,әсәр,4.62
юнәлеш,борылыш,3.59
урам,урын,2.05
урам,мәйдан,2.56
урам,чат,2.31
урам,балалар,0.26
караш,фикер,6.92
кардәш,туган,7.44
көчле,таза,6.92
билге,күрсәткеч,6.67
ММЧ,сәүдә,0.0
кәеф,күңел,5.64
бирү,түләү,3.59
риваять,хикәя,6.15
киртә,койма,7.95
таләп,сорау,4.36
керем,чыгым,2.05
доллар,сум,3.59
доллар,евро,4.1
телефон,җиһазлар,1.79
тавыш,аваз,7.18
кыек,кәкре,8.97
сыеклык,су,5.38
марафон,ара,2.05
ләззәт,рәхәт,8.72
балык,ризык,3.08
балыкчылык,терлекчелек,2.82
уылдык,ризык,1.79
пәрәмәч,бәлеш,5.38
тәүбә,үкенеч,7.69
мавыгу,кызыксыну,8.72
беренчелек,бәйге,6.15
надан,укымаган,7.95
ир,хатын,2.05
хәйлә,алдау,7.44
үтерү,җинаять,5.64
опера,тамаша,4.1
максат,тормыш,0.26
хыял,өмет,5.38
мөмкинлек,кыз,0.0
чор,заман,9.23
кишер,тамыр,2.56
ният,теләк,6.67
Башкортстан,Уфа,3.08
олы,дәү,9.49
шикәр,ысул,0.0
оят,хурлык,8.21
сыек,йомшак,1.54
үсеш,мәсьәлә,0.0
саф,пакь,9.23
ишек,тәрәзә,1.54
пыяла,тимер,0.26
бакыр,тимер,2.31
үлән,чирәм,7.95
дус,кунак,1.54
хис,тойгы,9.23
таң,иртә,6.15
яңгыр,яшен,2.05
шат,тиле,0.77
төш,өйлә,5.9
