word1,word2,average_score
мәхәббәт,мөнәсәбәт,5.64
китап,кәгазь,7.69
интернет,сайт,9.23
компьютер,интернет,7.95
телефон,элемтә,8.72
наркотик,тарату,4.36
акыллы,студент,3.59
компания,акция,5.13
акция,базар,3.59
акция,телефон,2.05
акция,диск,0.0
акция,бүре,0.0
акция,йомырка,1.28
уңыш,йомырка,1.03
акция,җанлы,0.26
акция,тормыш,0.51
китап,китапханә,9.74
банк,акча,9.49
профессор,кыяр,0.26
патша,кәбестә,0.26
яһүд,Израиль,9.49
Израиль,Фәләстин,7.44
изге,кыяр,0.0
Рубин,футбол,8.21
теннис,ракетка,9.23
революция,тынычлык,3.85
кызыл,террор,4.1
канун,адвокат,7.44
фильм,йолдыз,4.36
фильм,режиссер,8.72
фильм,тәнкыйть,4.1
фильм,театр,4.62
физика,атом,7.95
галәм,химия,3.85
хәмер,химия,1.79
эчү,машина,1.54
эчү,колак,0.0
эчү,авыз,6.92
бәби,әни,8.72
эчү,әни,0.51
корал,үтәү,1.79
абый,дәрвиш,1.28
торна,үтәү,0.0
егет,абый,7.69
сәяхәт,машина,7.18
дәрвиш,күрәзәче,2.05
зират,урман,3.08
яр,калкулык,5.38
урман,каберлек,2.56
елга,урман,3.59
дәрвиш,кол,1.28
яр,урман,2.56
егет,тылсымчы,0.51
курай,елмаю,1.03
пыяла,сихерче,0.51
өйлә,бау,0.26
атом,сәфәр,0.26
акча,байлык,9.49
акча,милек,8.46
акча,мөлкәт,8.97
акча,ришвәт,8.21
акча,мал,8.72
акча,табыш,8.21
акча,юу,2.05
акча,операция,3.85
юлбарыс,аю,4.1
психология,борчылу,4.87
психология,курку,4.87
психология,төшенкелек,6.67
психология,хастаханә,4.62
психология,табиб,5.13
психология,зиһен,6.15
психология,акыл,5.64
психология,сәламәтлек,4.36
психология,белем,3.85
планета,йолдызлык,8.46
планета,тереклек,6.41
планета,галәм,9.23
планета,астрономия,9.49
прецедент,мәгълүмат,3.33
прецедент,белем,2.56
прецедент,канун,4.87
прецедент,җыелма,0.51
прецедент,төркем,0.26
чынаяк,чәй,8.97
чынаяк,мәкалә,0.77
чынаяк,эчү,8.21
чынаяк,ризык,5.9
чынаяк,матдә,1.03
чынаяк,сыеклык,5.64
энергия,секретарь,0.51
секретарь,парламент,5.13
энергия,лаборатория,4.62
компьютер,лаборатория,5.38
корал,яшерен,3.33
полиция,эз,5.9
полиция,тикшерү,8.46
тикшерү,тырышу,2.05
Марс,су,2.31
Марс,галим,3.08
яңалыклар,хисап,0.77
тирә-юнь,мохит,8.97
сурәт,үзән,2.05
ачыш,галәм,4.62
су,корылык,7.69
билге,чокыр,1.28
чәршәмбе,яңалыклар,0.51
компьютер,яңалыклар,4.1
җир,тигезлек,4.87
атмосфера,ландшафт,4.1
президент,медаль,3.59
сугыш,гаскәрләр,9.23
язма,сан,4.36
театр,тарих,2.31
